director,title,star,writer
Roman Coppola,CQ,Jeremy Davies,Roman Coppola
Ray Lawrence,Parejas en conflicto,Anthony LaPaglia,Andrew Bovell
Ulrich Seidl,Dog Days,Maria Hofst‰tter,Veronika Franz
Paddy Breathnach,Blow Dry,Alan Rickman,Simon Beaufoy
Maria Ripoll,Tortilla Soup,Hector Elizondo,Hui-Ling Wang
Werner Herzog,Invincible,Jouko Ahola,Werner Herzog
Santosh Sivan,Ashoka the Great,Shah Rukh Khan,Saket Chaudhary
Mark Brown,Two Can Play That Game,Vivica A. Fox,Mark Brown
Sandra Nettelbeck,Mostly Martha,Martina Gedeck,Sandra Nettelbeck
GÈrard Krawczyk,Wasabi,Jean Reno,Luc Besson
Doug McHenry,Kingdom Come,LL Cool J,David Dean Bottrell
Nanni Moretti,The Son's Room,Nanni Moretti,Nanni Moretti
Kasi Lemmons,The Caveman's Valentine,Samuel L. Jackson,George Dawes Green
Juan Carlos Fresnadillo,Intacto,Max von Sydow,Juan Carlos Fresnadillo
Eric Bross,On the Line,Lance Bass,Eric Aronson
Blair Treu,Little Secrets,Evan Rachel Wood,Jessica Barondes
Zacharias Kunuk,Atanarjuat: The Fast Runner,Natar Ungalaaq,Paul Apak Angilirq
Rose Troche,The Safety of Objects,Glenn Close,A.M. Homes
Caroline Link,En alg˙n lugar de ¡frica,Juliane Kˆhler,Caroline Link
Martin Scorsese,Gangs of New York,Leonardo DiCaprio,Jay Cocks
Chris Columbus,Harry Potter and the Chamber of Secrets,Daniel Radcliffe,J.K. Rowling
Sam Raimi,Spider-Man,Tobey Maguire,Stan Lee
Steven Spielberg,Catch Me If You Can,Leonardo DiCaprio,Jeff Nathanson
Fernando Meirelles,City of God,Alexandre Rodrigues,Paulo Lins
Roman Polanski,The Pianist,Adrien Brody,Ronald Harwood
Adam Shankman,A Walk to Remember,Mandy Moore,Nicholas Sparks
Gaspar NoÈ,Irreversible,Monica Bellucci,Gaspar NoÈ
Rob Marshall,Chicago,RenÈe Zellweger,Bill Condon
Danny Boyle,28 Days Later...,Cillian Murphy,Alex Garland
Peter Jackson,The Lord of the Rings: The Two Towers,Elijah Wood,J.R.R. Tolkien
Gore Verbinski,The Ring,Naomi Watts,Ehren Kruger
Curtis Hanson,8 Mile,Eminem,Scott Silver
Raja Gosnell,Scooby-Doo,Matthew Lillard,James Gunn
Adrian Lyne,Unfaithful,Richard Gere,Claude Chabrol
Steven Spielberg,Minority Report,Tom Cruise,Philip K. Dick
Steven Shainberg,Secretary,James Spader,Erin Cressida Wilson
Doug Liman,The Bourne Identity,Franka Potente,Tony Gilroy
Kevin Reynolds,The Count of Monte Cristo,Jim Caviezel,Alexandre Dumas
Sam Mendes,Road to Perdition,Tom Hanks,Max Allan Collins
Andy Tennant,Sweet Home Alabama,Reese Witherspoon,Douglas J. Eboch
George Lucas,Star Wars: Episode II - Attack of the Clones,Hayden Christensen,George Lucas
Randall Wallace,We Were Soldiers,Mel Gibson,Harold G. Moore
David Fincher,Panic Room,Jodie Foster,David Koepp
Christopher Nolan,Insomnia,Al Pacino,Hillary Seitz
Stephen Daldry,The Hours,Meryl Streep,Michael Cunningham
Brett Ratner,DragÛn rojo,Anthony Hopkins,Thomas Harris
Paul W.S. Anderson,Resident Evil,Milla Jovovich,Paul W.S. Anderson
Kurt Wimmer,Equilibrium,Christian Bale,Kurt Wimmer
Lee Tamahori,Die Another Day,Pierce Brosnan,Ian Fleming
Barry Sonnenfeld,Men in Black II,Tommy Lee Jones,Lowell Cunningham
M. Night Shyamalan,Signs,Mel Gibson,M. Night Shyamalan
Spike Jonze,Adaptation.,Nicolas Cage,Susan Orlean
Guillermo del Toro,Blade II,Wesley Snipes,Marv Wolfman
Joel Zwick,Casarse... est· en griego,Nia Vardalos,Nia Vardalos
Stuart Baird,Star Trek: Nemesis,Patrick Stewart,Gene Roddenberry
Chris Wedge,Ice Age,Denis Leary,Michael J. Wilson
Rob Cohen,xXx,Vin Diesel,Rich Wilkes
Tom Brady,The Hot Chick,Rob Schneider,Tom Brady
Dean DeBlois,Lilo & Stitch,Daveigh Chase,Chris Sanders
Jay Roach,Austin Powers in Goldmember,Mike Myers,Mike Myers
Gurinder Chadha,Bend It Like Beckham,Parminder Nagra,Gurinder Chadha
Joel Schumacher,Phone Booth,Colin Farrell,Larry Cohen
Julie Taymor,Frida,Salma Hayek,Hayden Herrera
Jake Kasdan,Orange County,Colin Hanks,Mike White
Ron Clements,Treasure Planet,Joseph Gordon-Levitt,Robert Louis Stevenson
Kathryn Bigelow,K-19: The Widowmaker,Harrison Ford,Louis Nowra
Walt Becker,Van Wilder: Party Liaison,Ryan Reynolds,Brent Goldberg
Rob Bowman,Reign of Fire,Matthew McConaughey,Gregg Chabot
Chuck Russell,The Scorpion King,Dwayne Johnson,Stephen Sommers
Paul Thomas Anderson,Punch-Drunk Love,Adam Sandler,Paul Thomas Anderson
Steve Beck,Ghost Ship,Julianna Margulies,Mark Hanlon
Roger Kumble,The Sweetest Thing,Cameron Diaz,Nancy Pimental
Steven Soderbergh,Solaris,George Clooney,Stanislaw Lem
Louis Leterrier,The Transporter,Jason Statham,Luc Besson
Chris Weitz,About a Boy,Hugh Grant,Nick Hornby
Stephen Herek,Life or Something Like It,Angelina Jolie,John Scott Shepherd
Yimou Zhang,Hero,Jet Li,Feng Li
Wai-Keung Lau,Infernal Affairs,Andy Lau,Alan Mak
Michael Rymer,Queen of the Damned,Aaliyah,Anne Rice
Mark Pellington,The Mothman Prophecies,Richard Gere,Richard Hatem
Marc Lawrence,Two Weeks Notice,Sandra Bullock,Marc Lawrence
Michael Apted,Enough,Jennifer Lopez,Nicholas Kazan
Miguel Arteta,The Good Girl,Jennifer Aniston,Mike White
Spike Lee,25th Hour,Edward Norton,David Benioff
Eli Roth,Cabin Fever,Jordan Ladd,Eli Roth
Kelly Asbury,Spirit: Stallion of the Cimarron,Matt Damon,John Fusco
Simon Wells,The Time Machine,Guy Pearce,H.G. Wells
Rick Rosenthal,Halloween: Resurrection,Jamie Lee Curtis,Debra Hill
John Stockwell,Blue Crush,Kate Bosworth,Susan Orlean
John Woo,Windtalkers,Nicolas Cage,John Rice
Andrew Davis,Collateral Damage,Arnold Schwarzenegger,Ronald Roose
Steven Brill,Mr. Deeds,Adam Sandler,Clarence Budington Kelland
Phil Alden Robinson,The Sum of All Fears,Ben Affleck,Tom Clancy
Wayne Wang,Maid in Manhattan,Jennifer Lopez,John Hughes
Nick Cassavetes,John Q,Denzel Washington,James Kearns
Roger Avary,The Rules of Attraction,James Van Der Beek,Bret Easton Ellis
Pedro AlmodÛvar,Talk to Her,Rosario Flores,Pedro AlmodÛvar
Joel Schumacher,Bad Company,Anthony Hopkins,Gary M. Goodman
Carl Franklin,High Crimes,Jim Caviezel,Joseph Finder
Alain Chabat,Asterix and Obelix Meet Cleopatra,GÈrard Depardieu,RenÈ Goscinny
Jay Russell,Tuck Everlasting,Alexis Bledel,Natalie Babbitt
Robert Rodriguez,Spy Kids 2: Island of Lost Dreams,Alexa PenaVega,Robert Rodriguez
Brad Silberling,Moonlight Mile,Jake Gyllenhaal,Brad Silberling
David Cronenberg,Spider,Ralph Fiennes,Patrick McGrath
George Clooney,Confessions of a Dangerous Mind,Sam Rockwell,Chuck Barris
Alexander Payne,About Schmidt,Jack Nicholson,Louis Begley
Barbet Schroeder,Murder by Numbers,Sandra Bullock,Tony Gayton
Todd Haynes,Far from Heaven,Julianne Moore,Todd Haynes
Seth Kearsley,Eight Crazy Nights,Adam Sandler,Brooks Arthur
Marcus Raboy,Friday After Next,Ice Cube,Ice Cube
Tamra Davis,Crossroads,Britney Spears,Shonda Rhimes
Mark Romanek,One Hour Photo,Robin Williams,Mark Romanek
Ellory Elkayem,Eight Legged Freaks,David Arquette,Ellory Elkayem
Michael Lehmann,40 Days and 40 Nights,Josh Hartnett,Rob Perez
Chan-wook Park,Sympathy for Mr. Vengeance,Kang-ho Song,Jae-sun Lee
Shawn Levy,Big Fat Liar,Frankie Muniz,Dan Schneider
Douglas McGrath,Nicholas Nickleby,Charlie Hunnam,Charles Dickens
Kevin Donovan,The Tuxedo,Jackie Chan,Phil Hay
Andrew Niccol,S1m0ne,Al Pacino,Andrew Niccol
Luis Mandoki,Trapped,Kevin Bacon,Greg Iles
Ed Decter,The New Guy,DJ Qualls,David Kendall
Lucky McKee,May,Angela Bettis,Lucky McKee
Jonas ≈kerlund,Spun,Jason Schwartzman,Will De Los Santos
John Lee Hancock,The Rookie,Dennis Quaid,Mike Rich
Guy Ritchie,Swept Away,Madonna,Guy Ritchie
Mort Nathan,Boat Trip,Cuba Gooding Jr.,Mort Nathan
Walter Hill,Undisputed,Wesley Snipes,David Giler
Steve Oedekerk,Kung Pow: Enter the Fist,Steve Oedekerk,Steve Oedekerk
Peter Kosminsky,White Oleander,Michelle Pfeiffer,Janet Fitch
Brian De Palma,Mujer fatal,Rebecca Romijn,Brian De Palma
Ron Shelton,Dark Blue,Kurt Russell,James Ellroy
Michael Lembeck,The Santa Clause 2,Tim Allen,Don Rhymer
Roger Michell,Changing Lanes,Ben Affleck,Chap Taylor
Charles Stone III,Paid in Full,Mekhi Phifer,Azie Faison Jr.
David Twohy,Below,Bruce Greenwood,Lucas Sussman
Jonathan Frakes,Clockstoppers,Jesse Bradford,Rob Hedden
Barry Sonnenfeld,Big Trouble,Tim Allen,Dave Barry
Woody Allen,Hollywood Ending,Woody Allen,Woody Allen
Brian Levant,Snow Dogs,Cuba Gooding Jr.,Jim Kouf
John Polson,Swimfan,Jesse Bradford,Charles F. Bohl
Charles Stone III,Drumline,Nick Cannon,Shawn Schepps
Niki Caro,La leyenda de las ballenas,Keisha Castle-Hughes,Niki Caro
Clint Eastwood,Blood Work,Clint Eastwood,Michael Connelly
Shekhar Kapur,The Four Feathers,Heath Ledger,A.E.W. Mason
Tim Story,Barbershop,Ice Cube,Mark Brown
John Schultz,Like Mike,Shad Moss,Michael Elliot
Jean-Claude Brisseau,Secret Things,Coralie Revel,Jean-Claude Brisseau
Michael Winterbottom,24 Hour Party People,Steve Coogan,Frank Cottrell Boyce
Tom Dey,Showtime,Robert De Niro,Jorge Saralegui
Betty Thomas,I Spy,Eddie Murphy,Morton S. Fine
D.J. Caruso,The Salton Sea,Val Kilmer,Tony Gayton
Perry Andelin Blake,The Master of Disguise,Dana Carvey,Dana Carvey
Oliver Parker,The Importance of Being Earnest,Rupert Everett,Oscar Wilde
Gregory Hoblit,Hart's War,Bruce Willis,John Katzenbach
Don Coscarelli,Bubba Ho-Tep,Bruce Campbell,Joe R. Lansdale
Takashi Shimizu,Ju-on: The Grudge,Megumi Okina,Takashi Shimizu
Malcolm D. Lee,Undercover Brother,Eddie Griffin,John Ridley
Lukas Moodysson,Lilya 4-Ever,Oksana Akinshina,Lukas Moodysson
Stephen Frears,Dirty Pretty Things,Chiwetel Ejiofor,Steven Knight
Callie Khouri,Divine Secrets of the Ya-Ya Sisterhood,Sandra Bullock,Rebecca Wells
Ron Underwood,The Adventures of Pluto Nash,Eddie Murphy,Neil Cuthbert
Denzel Washington,Antwone Fisher,Denzel Washington,Antwone Fisher
Rob Minkoff,Stuart Little 2,Michael J. Fox,E.B. White
Joe Carnahan,Narc,Ray Liotta,Joe Carnahan
Jim Sheridan,Tierra de sueÒos,Paddy Considine,Jim Sheridan
John McTiernan,Rollerball,Chris Klein,William Harrison
Jordan Brady,Waking Up in Reno,Billy Bob Thornton,Brent Briscoe
Tom Shadyac,Dragonfly,Kevin Costner,Brandon Camp
Danny DeVito,Death to Smoochy,Robin Williams,Adam Resnick
Paul McGuigan,The Reckoning,Willem Dafoe,Barry Unsworth
David Jacobson,Dahmer,Jeremy Renner,David Jacobson
Reginald Hudlin,Serving Sara,Matthew Perry,Jay Scherick
Wallace Wolodarsky,Sorority Boys,Barry Watson,Joe Jarvis
Jaume BalaguerÛ,Darkness,Anna Paquin,Jaume BalaguerÛ
CÈdric Klapisch,L'auberge espagnole,Romain Duris,CÈdric Klapisch
Phillip Noyce,The Quiet American,Michael Caine,Graham Greene
Aleksandr Sokurov,Russian Ark,Sergey Dreyden,Boris Khaimsky
Robert Harmon,They,Laura Regan,Brendan Hood
Nicolas Cage,Sonny,James Franco,John Carlen
Phillip Noyce,Cerca de la libertad,Everlyn Sampi,Doris Pilkington
Mars Callahan,Poolhall Junkies,Mars Callahan,Mars Callahan
Matthew Bright,Bundy,Michael Reilly Burke,Stephen Johnston
Robin Budd,Peter Pan II: Return to Neverland,Blayne Weaver,Temple Mathews
Stephen Gaghan,Abandon,Katie Holmes,Stephen Gaghan
Patricia Cardoso,Real Women Have Curves,America Ferrera,Josefina Lopez
Lisa Cholodenko,Laurel Canyon,Frances McDormand,Lisa Cholodenko
William Malone,Feardotcom,Stephen Dorff,Moshe Diamant
Peter Hastings,The Country Bears,Haley Joel Osment,Mark Perez
Bruce Beresford,Evelyn,Pierce Brosnan,Paul Pender
Dewey Nicks,Slackers,Devon Sawa,David H. Steinberg
Wych Kaosayananda,Ballistic: Ecks vs. Sever,Antonio Banderas,Alan B. McElroy
Harold Ramis,Analyze That,Robert De Niro,Kenneth Lonergan
Gus Van Sant,Gerry,Casey Affleck,Casey Affleck
Peter Mullan,The Magdalene Sisters,Eileen Walsh,Peter Mullan
Sanjay Leela Bhansali,Devdas,Shah Rukh Khan,Saratchandra Chatterjee
Paul Schrader,Auto Focus,Greg Kinnear,Robert Graysmith
FranÁois Ozon,8 Women,Fanny Ardant,FranÁois Ozon
Zoe Clarke-Williams,New Best Friend,Taye Diggs,Victoria Strouse
Paul Greengrass,Bloody Sunday,James Nesbitt,Paul Greengrass
Michael Hoffman,The Emperor's Club,Kevin Kline,Ethan Canin
Neil LaBute,Possession,Gwyneth Paltrow,A.S. Byatt
Scott Kalvert,Deuces Wild,Stephen Dorff,Paul Kimatian
Burr Steers,Igby Goes Down,Kieran Culkin,Burr Steers
Tom Tykwer,Heaven,Cate Blanchett,Krzysztof Kieslowski
Michael Caton-Jones,City by the Sea,Robert De Niro,Mike McAlary
Jim Gillespie,Eye See You,Sylvester Stallone,Howard Swindle
Ken Loach,Sweet Sixteen,Martin Compston,Paul Laverty
Jonathan Demme,The Truth About Charlie,Mark Wahlberg,Peter Stone
Mike Leigh,All or Nothing,Timothy Spall,Mike Leigh
Steven Soderbergh,Full Frontal,Julia Roberts,Coleman Hough
Don Michael Paul,Half Past Dead,Morris Chestnut,Don Michael Paul
Aki Kaurism‰ki,The Man Without a Past,Markku Peltola,Aki Kaurism‰ki
Rick Famuyiwa,Brown Sugar,Taye Diggs,Michael Elliot
Kevin Bray,All About the Benjamins,Ice Cube,Ronald Lang
Bob Dolman,The Banger Sisters,Susan Sarandon,Bob Dolman
Roberto Benigni,Pinocchio,Roberto Benigni,Roberto Benigni
Susanne Bier,Open Hearts,Sonja Richter,Anders Thomas Jensen
Anthony Abrams,Pumpkin,Christina Ricci,Adam Larson Broder
Carlos Carrera,El crimen del padre Amaro,Gael GarcÌa Bernal,Vicente LeÒero
John Malkovich,Sendero de sangre,Javier Bardem,Nicholas Shakespeare
Daisy von Scherler Mayer,The Guru,Jimi Mistry,Tracey Jackson
Alex Smith,The Slaughter Rule,Ryan Gosling,Alex Smith
Matt Dillon,City of Ghosts,Matt Dillon,Matt Dillon
Dylan Kidd,Roger Dodger,Campbell Scott,Dylan Kidd
Laetitia Colombani,He Loves Me... He Loves Me Not,Audrey Tautou,Laetitia Colombani
Fernando LeÛn de Aranoa,Mondays in the Sun,Javier Bardem,Fernando LeÛn de Aranoa
Lynne Ramsay,Morvern Callar,Samantha Morton,Lynne Ramsay
Craig McCracken,The Powerpuff Girls Movie,Cathy Cavadini,Charlie Bean
Austin Chick,XX/XY,Mark Ruffalo,Austin Chick
Cathy Malkasian,The Wild Thornberrys Movie,Tim Curry,Arlene Klasky
Anthony Russo,Welcome to Collinwood,George Clooney,Anthony Russo
Abdul Malik Abbott,State Property,Beanie Sigel,Abdul Malik Abbott
Jesse Vaughan,Juwanna Mann,Miguel A. N˙Òez Jr.,Bradley Allenstein
Franc. Reyes,Empire,John Leguizamo,Franc. Reyes
Danny Pang,The Eye,Angelica Lee,Yuet-Jan Hui
Justin Lin,Better Luck Tomorrow,Parry Shen,Ernesto Foronda
Tuck Tucker,Hey Arnold! The Movie,Spencer Klein,Craig Bartlett
Menno Meyjes,Max,John Cusack,Menno Meyjes
Corey Yuen,So Close,Qi Shu,Jeffrey Lau
Tommy Wiseau,The Room,Tommy Wiseau,Tommy Wiseau
Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,Ted Elliott
Quentin Tarantino,Kill Bill: Vol. 1,Uma Thurman,Quentin Tarantino
Peter Jackson,The Lord of the Rings: The Return of the King,Elijah Wood,J.R.R. Tolkien
Richard Curtis,Love Actually,Hugh Grant,Richard Curtis
Chan-wook Park,Oldboy: Cinco dÌas para vengarse,Min-sik Choi,Garon Tsuchiya
Victor Salva,Jeepers Creepers II,Jonathan Breck,Victor Salva
Clint Eastwood,Mystic River,Sean Penn,Brian Helgeland
Bernardo Bertolucci,The Dreamers,Michael Pitt,Gilbert Adair
Ang Lee,Hulk,Eric Bana,Stan Lee
Andrew Stanton,Finding Nemo,Albert Brooks,Andrew Stanton
Sofia Coppola,Lost in Translation,Bill Murray,Sofia Coppola
Marcus Nispel,The Texas Chainsaw Massacre,Jessica Biel,Kim Henkel
Catherine Hardwicke,Thirteen,Evan Rachel Wood,Catherine Hardwicke
Patty Jenkins,Monster: Asesina en serie,Charlize Theron,Patty Jenkins
Rob Schmidt,Wrong Turn,Eliza Dushku,Alan B. McElroy
Shawn Levy,Cheaper by the Dozen,Steve Martin,Frank B. Gilbreth Jr.
Lana Wachowski,The Matrix Reloaded,Keanu Reeves,Lilly Wachowski
Andrew Davis,Holes,Shia LaBeouf,Louis Sachar
Len Wiseman,Underworld,Kate Beckinsale,Kevin Grevioux
Tim Burton,Big Fish,Ewan McGregor,Daniel Wallace
Mark Steven Johnson,Daredevil,Ben Affleck,Mark Steven Johnson
Edward Zwick,The Last Samurai,Tom Cruise,John Logan
Richard Linklater,School of Rock,Jack Black,Mike White
Jonathan Mostow,Terminator 3: Rise of the Machines,Arnold Schwarzenegger,James Cameron
F. Gary Gray,The Italian Job,Donald Sutherland,Troy Kennedy-Martin
James Mangold,Identity,John Cusack,Michael Cooney
Ronny Yu,Freddy vs. Jason,Robert Englund,Wes Craven
Todd Phillips,Old School,Luke Wilson,Court Crandall
John Singleton,2 Fast 2 Furious,Paul Walker,Gary Scott Thompson
Lana Wachowski,Matrix Revolutions,Keanu Reeves,Lilly Wachowski
Lars von Trier,Dogville,Nicole Kidman,Lars von Trier
Stephen Norrington,The League of Extraordinary Gentlemen,Sean Connery,Alan Moore
P.J. Hogan,Peter Pan,Jeremy Sumpter,J.M. Barrie
Rob Zombie,House of 1000 Corpses,Sid Haig,Rob Zombie
Lawrence Kasdan,Dreamcatcher,Morgan Freeman,Stephen King
Jan de Bont,Lara Croft Tomb Raider: The Cradle of Life,Angelina Jolie,Dean Georgaris
Anthony Minghella,Cold Mountain,Jude Law,Charles Frazier
Tom Shadyac,Bruce Almighty,Jim Carrey,Steve Koren
Bryan Singer,X-Men 2,Patrick Stewart,Zak Penn
Peter Weir,Master and Commander: The Far Side of the World,Russell Crowe,Patrick O'Brian
Kevin Costner,Open Range,Kevin Costner,Lauran Paine
Peter Berg,The Rundown,Dwayne Johnson,R.J. Stewart
Jon Favreau,Elf,Will Ferrell,David Berenbaum
Donald Petrie,How to Lose a Guy in 10 Days,Kate Hudson,Michele Alexander
Bo Welch,The Cat in the Hat,Mike Myers,Dr. Seuss
Mark Waters,Freaky Friday,Jamie Lee Curtis,Mary Rodgers
McG,Charlie's Angels: Full Throttle,Drew Barrymore,Ivan Goff
Peter Webber,Girl with a Pearl Earring,Scarlett Johansson,Tracy Chevalier
Michael Bay,Bad Boys II,Will Smith,George Gallo
Jesse Dylan,American Wedding,Jason Biggs,Adam Herz
Tim McCanlies,Secondhand Lions,Haley Joel Osment,Tim McCanlies
David R. Ellis,Final Destination 2,A.J. Cook,J. Mackye Gruber
Alejandro Gonz·lez IÒ·rritu,21 Grams,Sean Penn,Guillermo Arriaga
Alan Parker,The Life of David Gale,Kevin Spacey,Charles Randolph
Joon-ho Bong,Memories of Murder,Kang-ho Song,Joon-ho Bong
Vadim Perelman,House of Sand and Fog,Jennifer Connelly,Andre Dubus III
Jim Fall,The Lizzie McGuire Movie,Hilary Duff,Susan Estelle Jansen
Robert Rodriguez,Once Upon a Time in Mexico,Antonio Banderas,Robert Rodriguez
Jon Amiel,The Core,Aaron Eckhart,Cooper Layne
David Zucker,Scary Movie 3,Anna Faris,Craig Mazin
Mike Newell,Mona Lisa Smile,Julia Roberts,Lawrence Konner
Vincent Gallo,The Brown Bunny,Vincent Gallo,Vincent Gallo
Peter Segal,Anger Management,Jack Nicholson,David Dorfman
Peyton Reed,Down with Love,Ewan McGregor,Eve Ahlert
Robert Benton,The Human Stain,Anthony Hopkins,Philip Roth
Chris Kentis,Open Water,Blanchard Ryan,Chris Kentis
Alexandre Aja,High Tension,CÈcile De France,Alexandre Aja
Audrey Wells,Under the Tuscan Sun,Diane Lane,Frances Mayes
Antoine Fuqua,Tears of the Sun,Bruce Willis,Alex Lasker
Ron Shelton,Hollywood Homicide,Harrison Ford,Robert Souza
Robert Rodriguez,Spy Kids 3: Game Over,Daryl Sabara,Robert Rodriguez
Patrick Gilmore,Sinbad: Legend of the Seven Seas,Brad Pitt,John Logan
Dennie Gordon,What a Girl Wants,Amanda Bynes,William Douglas-Home
Ron Howard,The Missing,Tommy Lee Jones,Thomas Eidson
Nancy Meyers,Something's Gotta Give,Jack Nicholson,Nancy Meyers
Mathieu Kassovitz,Gothika,Halle Berry,Sebastian Gutierrez
Clark Johnson,S.W.A.T.,Samuel L. Jackson,Robert Hamner
Peter Howitt,Johnny English,Rowan Atkinson,Neal Purvis
Harald Zwart,Agent Cody Banks,Frankie Muniz,Ashley Miller
Rob Minkoff,The Haunted Mansion,Eddie Murphy,David Berenbaum
John McTiernan,B·sico y letal,John Travolta,James Vanderbilt
Terry Zwigoff,Bad Santa,Billy Bob Thornton,Glenn Ficarra
Bruno Barreto,View from the Top,Gwyneth Paltrow,Eric Wald
John Woo,Paycheck,Ben Affleck,Philip K. Dick
FranÁois Ozon,Swimming Pool: juegos perversos,Charlotte Rampling,FranÁois Ozon
Ridley Scott,Matchstick Men,Nicolas Cage,Eric Garcia
Steve Carr,Daddy Day Care,Eddie Murphy,Geoff Rodkey
Roger Donaldson,The Recruit,Al Pacino,Roger Towne
Gus Van Sant,Elephant,Elias McConnell,Gus Van Sant
Aaron Blaise,Tierra de osos,Joaquin Phoenix,Tab Murphy
Mike Figgis,Cold Creek Manor,Dennis Quaid,Richard Jefferies
F. Gary Gray,A Man Apart,Vin Diesel,Christian Gudegast
John Whitesell,Malibu's Most Wanted,Jamie Kennedy,Fax Bahr
Adam Shankman,Bringing Down the House,Steve Martin,Jason Filardi
Martin Campbell,M·s all· de las fronteras,Clive Owen,Caspian Tredwell-Owen
Richard Donner,Timeline,Paul Walker,Michael Crichton
Wolfgang Becker,Good Bye Lenin!,Daniel Br¸hl,Bernd Lichtenberg
Joe Dante,Looney Tunes: Back in Action,Brendan Fraser,Larry Doyle
Carl Franklin,Out of Time,Denzel Washington,David Collard
James Cox,Wonderland,Val Kilmer,James Cox
Gary Fleder,Runaway Jury,John Cusack,John Grisham
Bobby Farrelly,Stuck on You,Matt Damon,Charles B. Wessler
David McNally,Kangaroo Jack,Anthony Anderson,Steve Bing
Joel Coen,Intolerable Cruelty,George Clooney,Robert Ramsey
Jonathan Liebesman,Darkness Falls,Chaney Kley,Joe Harris
Bille Woodruff,Honey,Jessica Alba,Alonzo Brown
Yann Samuell,Love Me If You Dare,Guillaume Canet,Yann Samuell
Martin Brest,Gigli,Ben Affleck,Martin Brest
Jane Campion,In the Cut,Meg Ryan,Jane Campion
Brian Helgeland,The Order,Heath Ledger,Brian Helgeland
William Friedkin,The Hunted,Tommy Lee Jones,David Griffiths
Troy Miller,Dumb and Dumberer: When Harry Met Lloyd,Derek Richardson,Peter Farrelly
Shawn Levy,Just Married,Ashton Kutcher,Sam Harper
David Dobkin,Shanghai Knights,Jackie Chan,Alfred Gough
Charles Herman-Wurmfeld,"Legally Blonde 2: Red, White & Blonde",Reese Witherspoon,Amanda Brown
Gary Ross,Seabiscuit,Tobey Maguire,Laura Hillenbrand
Boaz Yakin,Uptown Girls,Brittany Murphy,Julia Dahl
Andrey Zvyagintsev,The Return,Vladimir Garin,Vladimir Moiseenko
Casey La Scala,Grind,Adam Brody,Ralph Sall
Jim Jarmusch,Coffee and Cigarettes,Bill Murray,Jim Jarmusch
Tom McCarthy,The Station Agent,Peter Dinklage,Tom McCarthy
Uwe Boll,House of the Dead,Jonathan Cherry,Mark A. Altman
Andrzej Bartkowiak,Cradle 2 the Grave,Jet Li,John O'Brien
Mikael HÂfstrˆm,Evil,Andreas Wilson,Jan Guillou
Eric Till,Lutero,Joseph Fiennes,Camille Thomasson
Michael Tollin,Radio,Cuba Gooding Jr.,Mike Rich
Troy Byer,Love Don't Cost a Thing,Nick Cannon,Michael Swerdlick
Gordon Chan,The Medallion,Jackie Chan,Alfred Cheung
Dennis Dugan,National Security,Martin Lawrence,Jay Scherick
Ron Maxwell,Gods and Generals,Stephen Lang,Jeff Shaara
Linda Mendoza,Chasing Papi,Eduardo Ver·stegui,Laura Angelica Simon
Billy Ray,Shattered Glass,Hayden Christensen,Buzz Bissinger
Chris Koch,A Guy Thing,Jason Lee,Greg Glienna
James Ivory,The Divorce,Kate Hudson,Diane Johnson
Glen Morgan,Willard,Crispin Glover,Glen Morgan
Todd Graff,Camp,Don Dixon,Todd Graff
Gregor Jordan,Ned Kelly,Heath Ledger,Robert Drewe
Robert Iscove,From Justin to Kelly,Kelly Clarkson,Kim Fuller
Fenton Bailey,Party Monster,Macaulay Culkin,Fenton Bailey
Woody Allen,Anything Else,Woody Allen,Woody Allen
Paul Hunter,Bulletproof Monk,Yun-Fat Chow,Ethan Reiff
Christine Jeffs,Sylvia,Gwyneth Paltrow,John Brownlow
Prachya Pinkaew,Ong-Bak: The Thai Warrior,Tony Jaa,Panna Rittikrai
David Mackenzie,Young Adam,Ewan McGregor,Alexander Trocchi
Andrew Fleming,The In-Laws,Albert Brooks,Andrew Bergman
John Eng,Rugrats Go Wild,Jodi Carlisle,Kate Boutilier
Chris Rock,Head of State,Chris Rock,Chris Rock
Sylvain Chomet,The Triplets of Belleville,MichËle Caucheteux,Sylvain Chomet
Sam Weisman,Dickie Roberts: Former Child Star,David Spade,Fred Wolf
Marco Tullio Giordana,The Best of Youth,Luigi Lo Cascio,Sandro Petraglia
David Gordon Green,All the Real Girls,Zooey Deschanel,David Gordon Green
Danny DeVito,Duplex,Ben Stiller,Larry Doyle
Ryan Little,Saints and Soldiers,Corbin Allred,Geoffrey Panos
Satoshi Kon,Tokyo Godfathers,TÙru Emori,Satoshi Kon
Nigel Cole,Calendar Girls,Helen Mirren,Juliette Towhidi
Tim Fywell,I Capture the Castle,Romola Garai,Dodie Smith
David Mickey Evans,Barely Legal,Erik von Detten,David H. Steinberg
Paul Feig,I Am David,Ben Tibber,Anne Holm
James Foley,Confidence,Edward Burns,Doug Jung
Wayne Kramer,The Cooler,William H. Macy,Frank Hannah
Christopher Guest,A Mighty Wind,Christopher Guest,Christopher Guest
Reggie Rock Bythewood,Biker Boyz,Laurence Fishburne,Michael Gougis
Nikkhil Advani,Kal Ho Naa Ho,Preity Zinta,Niranjan Iyengar
Shari Springer Berman,American Splendor,Paul Giamatti,Harvey Pekar
