director,title,star,writer
Allan Burns,Just Between Friends,Mary Tyler Moore,Allan Burns
Gary Hudson,Thunder Run,Forrest Tucker,Charles Davis
Paul Bartel,The Longshot,Tim Conway,Tim Conway
Michael Dinner,Off Beat,Judge Reinhold,Dezsˆ Magyar
Joe Roth,Streets of Gold,Klaus Maria Brandauer,Dezsˆ Magyar
Bert Convy,Weekend Warriors,Chris Lemmon,Bruce Belland
Zoran Perisic,Sky Bandits,Scott McGinnis,Thom Keyes
Fred Olen Ray,Armed Response,David Carradine,T.L. Lankford
Franco Zeffirelli,Otello,Pl·cido Domingo,Arrigo Boito
Rob Nilsson,On the Edge,Bruce Dern,Roy Kissin
Frank Harris,Low Blow,Leo Fong,Leo Fong
Glen Pitre,Belizaire the Cajun,Armand Assante,Glen Pitre
Claude Lelouch,A Man and a Woman: 20 Years Later,Anouk AimÈe,Claude Lelouch
Clay Borris,Quiet Cool,James Remar,Clay Borris
Gideon Amir,Behind Enemy Lines,David Carradine,Malcolm Barbour
Francis Schaeffer,Wired to Kill,Emily Longstreth,Francis Schaeffer
Bruce Beresford,The Fringe Dwellers,Kristina Nehm,Bruce Beresford
AndrÈ TÈchinÈ,Scene of the Crime,Nicolas Giraudi,AndrÈ TÈchinÈ
Don Lusk,GoBots: Battle of the Rock Lords,Margot Kidder,Jeff Segal
Charles Gormley,The Gospel According to Vic,Tom Conti,Charles Gormley
Dominic Orlando,Knights of the City,Leon Isaac Kennedy,Leon Isaac Kennedy
Robert M. Young,Saving Grace,Tom Conti,Celia Gittelson
Gary Grillo,Jackals,Jack Lucarelli,Dennis A. Pratt
Filippo Ottoni,Detective School Dropouts,David Landsberg,Lorin Dreyfuss
Christopher Cain,Where the River Runs Black,Charles Durning,Neal Jimenez
Bruno Bianchi,Heathcliff: The Movie,Mel Blanc,George Gately
Dennis Klein,One More Saturday Night,Tom Davis,Tom Davis
Rob Reiner,The Princess Bride,Cary Elwes,William Goldman
Clive Barker,Hellraiser,Andrew Robinson,Clive Barker
Stanley Kubrick,Full Metal Jacket,Matthew Modine,Gustav Hasford
Emile Ardolino,Dirty Dancing,Patrick Swayze,Eleanor Bergstein
Joel Schumacher,The Lost Boys,Jason Patric,Jan Fischer
John McTiernan,Predator,Arnold Schwarzenegger,Jim Thomas
Paul Michael Glaser,The Running Man,Arnold Schwarzenegger,Stephen King
Mel Brooks,Spaceballs,Mel Brooks,Mel Brooks
Paul Verhoeven,RoboCop,Peter Weller,Edward Neumeier
Richard Donner,Lethal Weapon,Mel Gibson,Shane Black
Brian De Palma,The Untouchables,Kevin Costner,Oscar Fraley
Sam Raimi,Evil Dead II,Bruce Campbell,Sam Raimi
Gary Goddard,Masters of the Universe,Dolph Lundgren,David Odell
Fred Dekker,The Monster Squad,Andre Gower,Shane Black
Adrian Lyne,Fatal Attraction,Michael Douglas,James Dearden
John Glen,The Living Daylights,Timothy Dalton,Richard Maibaum
Oliver Stone,Wall Street,Charlie Sheen,Stanley Weiser
Steven Spielberg,Empire of the Sun,Christian Bale,Tom Stoppard
Steve Rash,Can't Buy Me Love,Patrick Dempsey,Michael Swerdlick
George Miller,The Witches of Eastwick,Jack Nicholson,John Updike
Carl Reiner,Summer School,Mark Harmon,Stuart Birnbaum
Chuck Russell,A Nightmare on Elm Street 3: Dream Warriors,Heather Langenkamp,Wes Craven
Chris Columbus,Adventures in Babysitting,Elisabeth Shue,David Simkins
John Irvin,Hamburger Hill,Anthony Barrile,James Carabatsos
Joseph Sargent,Jaws: The Revenge,Lorraine Gary,Peter Benchley
